2
window,bin,peak ratio,amplitude,belong,value
15,2604.9,0.602,842514.98,1,3027
16,3435.2,0.594,847201.38,1,2197
17,272.2,0.608,876629.67,1,1264
18,2738.0,0.616,858722.25,1,2894
19,581.2,0.599,859991.99,1,955
19,3629.0,1.635,1329379.39,2,3027
20,938.3,0.603,863656.94,1,598
20,363.1,1.599,1320195.65,2,2197
21,3779.0,0.601,870971.85,1,1853
21,1296.1,1.634,1316011.91,2,1264
22,1388.2,0.590,846150.50,1,148
22,3762.0,1.602,1329514.06,2,2894
23,233.2,0.595,842187.01,1,1303
23,1605.0,1.592,1314592.99,2,955
24,984.0,0.587,842330.72,1,552
24,1962.0,1.648,1317626.59,2,598
25,2244.0,0.621,853317.43,1,3388
25,707.1,1.582,1300692.89,2,1853
26,1860.0,0.606,872299.80,1,3772
26,2412.0,1.609,1298060.02,2,148
27,732.1,0.599,851718.58,1,804
27,1256.9,1.622,1321989.91,2,1303
28,2287.1,0.575,832863.40,1,3345
28,2008.0,1.677,1331697.89,2,552
29,1045.0,0.617,889755.15,1,491
29,3268.0,1.635,1326986.02,2,3388
30,2628.1,0.619,864187.00,1,3004
30,2884.0,1.625,1312255.01,2,3772
31,29.1,0.590,853736.18,1,1507
31,1756.0,1.701,1358052.51,2,804
32,3601.9,0.601,855007.19,1,2030
32,3311.0,1.643,1322983.51,2,3345
33,2547.9,0.598,848902.43,1,3084
33,2069.0,1.637,1340376.54,2,491
34,1161.8,0.584,838091.13,1,374
34,3652.0,1.679,1338600.07,2,3004
35,1052.9,1.643,1312007.70,2,1507
36,530.0,1.683,1317861.33,2,2030
37,3572.0,1.610,1313452.34,2,3084
38,2186.0,1.666,1345063.88,2,374
